long,lat,group,order,region,subregion,median_violations,median_population,median_facilities,median_visits,epa_region,violations_per_facilities,violations_per_person
-73.24119567871094,41.144100189208984,6,1333,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.26411437988281,41.12118148803711,6,1334,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.28130340576172,41.11545181274414,6,1335,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.36151885986328,41.12118148803711,6,1336,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.390167236328125,41.12118148803711,6,1337,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.40162658691406,41.11545181274414,6,1338,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.4245376586914,41.0868034362793,6,1339,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.44746398925781,41.06961441040039,6,1340,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.481842041015625,41.04669952392578,6,1341,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.51048278808594,41.04669952392578,6,1342,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.5162124633789,41.02950668334961,6,1343,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.56204986572266,41.01804733276367,6,1344,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.63080596923828,41.0123176574707,6,1345,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.67091369628906,41.023780822753906,6,1346,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.72248077392578,41.109718322753906,6,1347,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.53913116455078,41.19566345214844,6,1348,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.4990234375,41.21858215332031,6,1349,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.56204986572266,41.304527282714844,6,1350,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.55632019042969,41.3675537109375,6,1351,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.54486083984375,41.53371047973633,6,1352,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.53340911865234,41.67694854736328,6,1353,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.4990234375,42.049373626708984,6,1354,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-70.73736572265625,43.08642578125,18,4959,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.7717514038086,43.103614807128906,18,4960,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.8003921508789,43.12080383300781,18,4961,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.811859130859375,43.13226318359375,18,4962,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.82331085205078,43.160911560058594,18,4963,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.81758117675781,43.201019287109375,18,4964,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.81758117675781,43.24112319946289,18,4965,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.82904052734375,43.25258255004883,18,4966,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.857696533203125,43.2755012512207,18,4967,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.93217468261719,43.33852767944336,18,4968,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.966552734375,43.39009475708008,18,4969,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.97228240966797,43.43020248413086,18,4970,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.966552734375,43.48749542236328,18,4971,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.96082305908203,43.510414123535156,18,4972,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.96082305908203,43.561981201171875,18,4973,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.97228240966797,43.59062957763672,18,4974,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.97228240966797,43.79116439819336,18,4975,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-71.01811981201172,44.29536819458008,18,4976,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-71.0754165649414,45.31523132324219,18,4977,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-71.0410385131836,45.320960998535156,18,4978,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-71.01239013671875,45.349609375,18,4979,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.97228240966797,45.35533905029297,18,4980,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.93790435791016,45.349609375,18,4981,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.92071533203125,45.320960998535156,18,4982,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.90352630615234,45.26939392089844,18,4983,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.8748779296875,45.257938385009766,18,4984,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.84049987792969,45.263668060302734,18,4985,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.82904052734375,45.275123596191406,18,4986,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.82331085205078,45.332420349121094,18,4987,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.81758117675781,45.40117645263672,18,4988,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.811859130859375,45.418365478515625,18,4989,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.79466247558594,45.42982482910156,18,4990,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.76029205322266,45.418365478515625,18,4991,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.66287994384766,45.39544677734375,18,4992,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.63996887207031,45.40117645263672,18,4993,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.628509521484375,45.41263198852539,18,4994,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.63996887207031,45.418365478515625,18,4995,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.69725799560547,45.47565841674805,18,4996,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.720184326171875,45.5214958190918,18,4997,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.7144546508789,45.54441452026367,18,4998,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.69153594970703,45.56733322143555,18,4999,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.5884017944336,45.65900421142578,18,5000,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.55975341796875,45.66473388671875,18,5001,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.54256439208984,45.67619705200195,18,5002,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.4967269897461,45.681922912597656,18,5003,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.47380828857422,45.70484161376953,18,5004,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.43370056152344,45.72203063964844,18,5005,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.39933013916016,45.74494934082031,18,5006,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.39359283447266,45.76213836669922,18,5007,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.41078186035156,45.785057067871094,18,5008,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.39933013916016,45.81370544433594,18,5009,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.38786315917969,45.84235382080078,18,5010,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.359222412109375,45.85954284667969,18,5011,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.30765533447266,45.871002197265625,18,5012,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.27900695800781,45.8939208984375,18,5013,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.2618179321289,45.95121383666992,18,5014,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.267547607421875,45.962677001953125,18,5015,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.30191802978516,45.979862213134766,18,5016,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.30765533447266,46.03715896606445,18,5017,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.27327728271484,46.071533203125,18,5018,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.24462127685547,46.15174865722656,18,5019,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.2560806274414,46.1632080078125,18,5020,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.29618835449219,46.20331573486328,18,5021,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.267547607421875,46.2548828125,18,5022,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.23889923095703,46.283531188964844,18,5023,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.21598052978516,46.31790542602539,18,5024,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.20451354980469,46.340824127197266,18,5025,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.18733215332031,46.35228729248047,18,5026,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.14149475097656,46.375205993652344,18,5027,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.09565734863281,46.39812469482422,18,5028,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.07273864746094,46.4267692565918,18,5029,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.04981994628906,46.47260665893555,18,5030,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.038360595703125,46.54136276245117,18,5031,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.03263092041016,46.56427764892578,18,5032,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-70.02690124511719,46.6158447265625,18,5033,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-69.9925308227539,46.71324920654297,18,5034,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-69.7003173828125,47.01118850708008,18,5035,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-69.46540069580078,47.246097564697266,18,5036,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-69.270599365234375,47.435176849365234,18,5037,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-69.24195098876953,47.45809555053711,18,5038,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-69.21329498291016,47.46955108642578,18,5039,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-69.178924560546875,47.46955108642578,18,5040,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-69.14454650878906,47.45809555053711,18,5041,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-69.0815200805664,47.44663619995117,18,5042,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-69.05287170410156,47.44663619995117,18,5043,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-69.047149658203125,47.429443359375,18,5044,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-69.0643310546875,47.3320426940918,18,5045,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-69.05287170410156,47.26328659057617,18,5046,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-69.00703430175781,47.234642028808594,18,5047,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-68.92109680175781,47.20026397705078,18,5048,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-68.8695297241211,47.20599365234375,18,5049,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-68.76639556884766,47.246097564697266,18,5050,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-68.680450439453125,47.26328659057617,18,5051,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-68.6288833618164,47.26328659057617,18,5052,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-68.57731628417969,47.29766845703125,18,5053,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-68.52574920654297,47.30912399291992,18,5054,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-68.411163330078125,47.29766845703125,18,5055,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-68.39396667480469,47.30339813232422,18,5056,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-68.38824462890625,47.35496139526367,18,5057,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-68.37678527832031,47.36069107055664,18,5058,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-68.273651123046875,47.37215042114258,18,5059,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-68.19916534423828,47.36069107055664,18,5060,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-68.1590576171875,47.337772369384766,18,5061,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.9986343383789,47.234642028808594,18,5062,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.94132995605469,47.19453430175781,18,5063,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.89549255371094,47.137237548828125,18,5064,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.8725814819336,47.12004852294922,18,5065,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.82674407958984,47.091400146484375,18,5066,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.79236602783203,47.06275177001953,18,5067,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.775177001953125,47.01118850708008,18,5068,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.76944732666016,46.65595245361328,18,5069,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.775177001953125,46.180397033691406,18,5070,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.76371765136719,45.962677001953125,18,5071,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.76371765136719,45.934024810791016,18,5072,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.775177001953125,45.90537643432617,18,5073,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.79236602783203,45.876731872558594,18,5074,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.79236602783203,45.85381317138672,18,5075,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.76944732666016,45.83662414550781,18,5076,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.76371765136719,45.825164794921875,18,5077,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.79236602783203,45.80224609375,18,5078,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.80955505371094,45.73922348022461,18,5079,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.80382537841797,45.70484161376953,18,5080,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.7809066772461,45.681922912597656,18,5081,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.75798797607422,45.67619705200195,18,5082,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.7293472290039,45.67619705200195,18,5083,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.69496154785156,45.687652587890625,18,5084,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.67204284667969,45.64754867553711,18,5085,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.64912414550781,45.6303596496582,18,5086,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.57463836669922,45.60744094848633,18,5087,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.52307891845703,45.59025192260742,18,5088,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.460052490234375,45.60744094848633,18,5089,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.4371337890625,45.60171127319336,18,5090,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.4199447631836,45.578792572021484,18,5091,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.414215087890625,45.5214958190918,18,5092,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.43140411376953,45.49857711791992,18,5093,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.47724151611328,45.49285125732422,18,5094,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.48297119140625,45.47565841674805,18,5095,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.48297119140625,45.464202880859375,18,5096,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.4543228149414,45.40690612792969,18,5097,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.42567443847656,45.38398742675781,18,5098,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.4199447631836,45.36106872558594,18,5099,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.44859313964844,45.28658676147461,18,5100,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.460052490234375,45.275123596191406,18,5101,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.43140411376953,45.24074935913086,18,5102,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.37983703613281,45.166263580322266,18,5103,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.345458984375,45.14907455444336,18,5104,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.31108093261719,45.1605339050293,18,5105,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.25951385498047,45.20064163208008,18,5106,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.24232482910156,45.18918228149414,18,5107,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.20794677734375,45.1777229309082,18,5108,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.17356872558594,45.171993255615234,18,5109,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.11627197265625,45.126155853271484,18,5110,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.08189392089844,45.09177780151367,18,5111,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.11054992675781,45.06312942504883,18,5112,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.11627197265625,45.04594039916992,18,5113,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
-67.06471252441406,44.9886474609375,18,5114,Maine,NA,11,120,6,13,1,1.8333333333333333,0.09166666666666666
