"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Population Served Count","Cities Served","Counties Served","# of Facilities","# of Violations","# of Site Visits","Primary Source","Zip Code","City Name"
"LA1069011","CHEE CHEE BAY WATER SYSTEM","Region 6","Louisiana","Community water system","510","-","Natchitoches Parish","8","9","8","Ground water","71031","GOLDONNA"
"LA1073058","INDIAN VILLAGE WATER SYSTEM","Region 6","Louisiana","Community water system","1,686","-","Ouachita Parish","14","43","25","Ground water","71225","CALHOUN"
"LA2103362","B & B GROCERY & DELI","Region 6","Louisiana","Transient non-community system","50","-","St. Tammany Parish","4","5","5","Ground water","70460","SLIDELL"
"LA1061029","LINCOLN PARISH WATERWORKS DISTRICT #2","Region 6","Louisiana","Community water system","915","-","Lincoln Parish","2","2","5","Ground water purchased","71273","RUSTON"
"LA2103460","HYUNDIA OF SLIDELL","Region 6","Louisiana","Transient non-community system","100","-","St. Tammany Parish","4","0","5","Ground water","70461","SLIDELL"
"LA1101010","ST MARY WATER & SEWER COMM #3","Region 6","Louisiana","Community water system","7,500","-","St. Mary Parish","11","12","36","Surface water","70522","CENTERVILLE"
"LA1037001","TOWN OF CLINTON","Region 6","Louisiana","Community water system","2,541","-","East Feliciana Parish","9","26","20","Ground water","70730","ETHEL"
"LA1037004","EAST FELICIANA RURAL GURLEY RD WS","Region 6","Louisiana","Community water system","3,462","-","East Feliciana Parish","32","15","18","Ground water","70730","ETHEL"
"LA1037011","EAST FELICIANA RURAL-REEVES-MORGAN","Region 6","Louisiana","Community water system","582","-","East Feliciana Parish","5","6","12","Ground water","70730","ETHEL"
"LA1037015","EAST FELICIANA RURAL BLUFF CREEK WS","Region 6","Louisiana","Community water system","1,761","-","East Feliciana Parish","9","0","2","Ground water","70730","ETHEL"
"LA1037016","EAST FELICIANA RURAL HWY 964 WS","Region 6","Louisiana","Community water system","1,449","-","East Feliciana Parish","4","1","2","Ground water","70730","ETHEL"
"LA1037017","EAST FELICIANA RURAL PLANK-GROSS BATTLE","Region 6","Louisiana","Community water system","3,240","-","East Feliciana Parish","8","0","2","Ground water","70730","ETHEL"
"LA1037018","EAST FELICIANA RURAL TURNER RD WS","Region 6","Louisiana","Community water system","1,140","-","East Feliciana Parish","6","0","2","Ground water purchased","70730","ETHEL"
"LA1117022","RON SON BEAR","Region 6","Louisiana","Community water system","96","-","Washington Parish","4","29","9","Ground water","70438","FRANKLINTON"
"LA2017033","STONEWALL BEVERAGE COMPANY","Region 6","Louisiana","Transient non-community system","25","-","Caddo Parish","5","0","1","Ground water","71078","STONEWALL"
"LA2105004","SANDERSON FARMS, INC","Region 6","Louisiana","Non-Transient non-community system","690","-","Tangipahoa Parish","4","2","7","Ground water","39441","LAUREL"
"LA1013023","SPRINGHILL COMMUNITY WATER SYSTEM","Region 6","Louisiana","Community water system","183","-","Bienville Parish","7","48","13","Ground water","71034","HALL SUMMIT"
"LA2019131","BORDER TOWN TRAVEL PLAZA","Region 6","Louisiana","Transient non-community system","100","-","Calcasieu Parish","5","0","7","Ground water","70668","VINTON"
"LA1039009","TE MAMOU WATER DISTRICT","Region 6","Louisiana","Community water system","2,355","-","Evangeline Parish","8","11","23","Ground water","70586","VILLE PLATTE"
"LA1055121","CAJUN MOBILE HOME PARK WATER SYSTEM","Region 6","Louisiana","Community water system","180","-","Lafayette Parish","11","15","20","Ground water","70592","YOUNGSVILLE"
"LA2103356","LACOMBE-MANDEVILLE HEADSTART","Region 6","Louisiana","Non-Transient non-community system","130","-","St. Tammany Parish","4","20","5","Ground water","70455","ROBERT"
"LA1085021","PLEASANT HILL WATER SYSTEM, TOWN OF","Region 6","Louisiana","Community water system","723","-","Sabine Parish","7","14","7","Ground water","71065","PLEASANT HILL"
"LA1107004","ST JOSEPH WATER SYSTEM","Region 6","Louisiana","Community water system","1,761","-","Tensas Parish","12","51","57","Ground water","71366","ST JOSEPH"
"LA1113004","TOWN OF DELCAMBRE WATER SYSTEM","Region 6","Louisiana","Community water system","2,532","-","Vermilion Parish","10","11","20","Ground water","70528","DELCAMBRE"
"LA1103040","SHADY PINES TRAILER PARK","Region 6","Louisiana","Community water system","120","-","St. Tammany Parish","5","19","11","Ground water","85737","TUSCAN"
"LA1073060","CADEVILLE WATER DISTRICT","Region 6","Louisiana","Community water system","4,800","-","Ouachita Parish","20","78","26","Ground water","71294","WEST MONROE"
"LA1049014","QUITMAN WATER SYSTEM","Region 6","Louisiana","Community water system","648","-","Jackson Parish","15","7","22","Ground water","71268","QUITMAN"
"LA1081003","EDGEFIELD WATER SYSTEM","Region 6","Louisiana","Community water system","360","-","Red River Parish","8","17","9","Ground water","71019","COUSHATTA"
"LA1067010","MOREHOUSE CENTRAL WS","Region 6","Louisiana","Community water system","819","-","Morehouse Parish","10","23","21","Ground water","71229","COLLINSTON"
"LA1127002","VILLAGE OF CALVIN WATER SYSTEM","Region 6","Louisiana","Community water system","591","-","Winn Parish","17","185","18","Ground water","71410","CALVIN"
"LA1077013","INNIS WATER CORPORATION INC","Region 6","Louisiana","Community water system","2,268","-","Pointe Coupee Parish","17","6","14","Ground water","70747","INNIS"
"LA1055011","TOWN OF DUSON WATER SYSTEM","Region 6","Louisiana","Community water system","1,950","-","Lafayette Parish","15","8","20","Ground water","70529","DUSON"
"LA2105067","GLENWOOD BAPTIST YOUTH CAMP","Region 6","Louisiana","Transient non-community system","125","-","Tangipahoa Parish","7","2","5","Ground water","70437","FOLSOM"
"LA1047009","TOWN OF WHITE CASTLE WATER SYSTEM","Region 6","Louisiana","Community water system","2,550","-","Iberville Parish","6","8","24","Ground water","70788","WHITE CASTLE"
"LA1097003","TOWN OF KROTZ SPRINGS WATER SYSTEM","Region 6","Louisiana","Community water system","2,220","-","St. Landry Parish","11","7","19","Ground water","70750","KROTZ SPRINGS"
"LA1031011","NORTH DESOTO WATER SYSTEM","Region 6","Louisiana","Community water system","4,500","-","De Soto Parish","29","9","13","Ground water","71078","STONEWALL"
"LA2117181","S AND P TRUCK STOP","Region 6","Louisiana","Transient non-community system","25","-","Washington Parish","4","30","6","Ground water","70427","BOGALUSA"
"LA2103440","WINN DIXIE #1500","Region 6","Louisiana","Transient non-community system","1,000","-","St. Tammany Parish","5","3","5","Ground water","70403","HAMMOND"
"LA1081002","EAST CROSS WATER SYSTEM","Region 6","Louisiana","Community water system","453","-","Red River Parish","9","26","10","Ground water","71034","HALL SUMMIT"
"LA1103032","ST JOSEPH ABBEY","Region 6","Louisiana","Community water system","127","-","St. Tammany Parish","5","33","10","Ground water","70457","ST. BENEDICT"
"LA2091032","NATALBANY CREEK CAMPGROUND","Region 6","Louisiana","Transient non-community system","600","-","St. Helena Parish","7","0","5","Ground water","70508","LAFAYETTE"
"LA1029006","LAKE ST JOHN WATERWORKS DISTRICT 1","Region 6","Louisiana","Community water system","1,920","-","Concordia Parish","8","102","17","Ground water","71334","FERRIDAY"
"LA1025002","BLACK RIVER WATER SYSTEM","Region 6","Louisiana","Community water system","1,941","-","Catahoula Parish","14","12","13","Ground water","71340","HARRISONBURG"
"LA1069015","AJAX BEULAH WATER SYSTEM","Region 6","Louisiana","Community water system","453","-","Natchitoches Parish","6","46","5","Ground water","71450","MARTHAVILLE"
"LA1013018","MOUNT CALM WATER SYSTEM","Region 6","Louisiana","Community water system","342","-","Bienville Parish","7","38","15","Ground water","71270","RUSTON"
"LA1119028","SPRINGHILL WATER SYSTEM","Region 6","Louisiana","Community water system","7,800","-","Webster Parish","22","9","15","Ground water","71075","SPRINGHILL"
"LA1123007","PIONEER DARNELL WATER SYSTEM","Region 6","Louisiana","Community water system","2,100","-","West Carroll Parish","13","4","28","Ground water","71266","PIONEER"
"LA2103365","CHARLOUS PIZZERIA","Region 6","Louisiana","Transient non-community system","100","-","St. Tammany Parish","4","11","4","Ground water","70461","SLIDELL"
"LA1021004","EAST COLUMBIA WATER SYSTEM","Region 6","Louisiana","Community water system","2,640","-","Caldwell Parish","12","50","40","Ground water","71418","COLUMBIA"
"LA1041002","GILBERT WATER SYSTEM","Region 6","Louisiana","Community water system","915","-","Franklin Parish","10","11","6","Ground water purchased","71336","GILBERT"
"LA1103069","OZONE PINE SUBDIVISION","Region 6","Louisiana","Community water system","75","-","St. Tammany Parish","5","188","11","Ground water","70461","SLIDELL"
"LA1069005","HAGEWOOD WATER SYSTEM","Region 6","Louisiana","Community water system","945","-","Natchitoches Parish","12","42","13","Ground water","71458-0793","NATCHITOCHES"
"LA1015005","COUNTRY PLACE SUBD WATER SYSTEM","Region 6","Louisiana","Community water system","1,200","-","Bossier Parish","3","41","9","Surface water purchased","71101","SHREVEPORT"
"LA1025004","VILLAGE OF HARRISONBURG WATER SYSTEM","Region 6","Louisiana","Community water system","960","-","Catahoula Parish","12","38","18","Ground water","71340","HARRISONBURG"
"LA1019112","OAK PINE MOBILE HOME PARK WATER SYSTEM","Region 6","Louisiana","Community water system","240","-","Calcasieu Parish","12","18","29","Ground water","70607","LAKE CHARLES"
"LA2063044","BEST STOP 15","Region 6","Louisiana","Transient non-community system","60","-","Livingston Parish","5","0","3","Ground water","70754","LIVINGSTON"
"LA1059001","BELAH FELLOWSHIP WATER SYSTEM","Region 6","Louisiana","Community water system","1,863","-","La Salle Parish","14","24","13","Ground water","71371","TROUT"
"LA1085044","UNION SPRINGS WATER SYSTEM","Region 6","Louisiana","Community water system","1,305","-","Sabine Parish","12","47","15","Ground water","71419","CONVERSE"
"LA1017028","RODESSA WATER SYSTEM","Region 6","Louisiana","Community water system","544","-","Caddo Parish","10","12","12","Ground water","71069","RODESSA"
"LA2005003","BASF CORPORATION","Region 6","Louisiana","Non-Transient non-community system","1,391","-","Ascension Parish","13","7","15","Ground water","70734","GEISMAR"
"LA1023005","CAMERON PARISH WW DISTRICT 10","Region 6","Louisiana","Community water system","1,503","-","Cameron Parish","18","2","15","Ground water","70631","JOHNSON BAYOU"
"LA2019021","DELTA DOWNS INC WATER SYSTEM","Region 6","Louisiana","Non-Transient non-community system","2,481","-","Calcasieu Parish","15","7","8","Ground water","70668","VINTON"
"LA1119031","UNION GROVE WATER SYSTEM","Region 6","Louisiana","Community water system","150","-","Webster Parish","9","13","12","Ground water","71073","SIBLEY"
"LA1025008","SANDY LAKE WATER SUPPLY","Region 6","Louisiana","Community water system","3,141","-","Catahoula Parish","12","5","20","Ground water","71343","JONESVILLE"
"LA2113279","GRAND ISLE SHIPYARD WATER SYSTEM","Region 6","Louisiana","Non-Transient non-community system","65","-","Vermilion Parish","6","9","16","Ground water","70510","ABBEVILLE"
"LA1017082","SHADOW LAKE MHP WATER SYSTEM","Region 6","Louisiana","Community water system","90","-","Caddo Parish","5","5","10","Ground water","71047","KEITHVILLE"
"LA2015020","CAMP JOY MARINA WATER SYSTEM","Region 6","Louisiana","Transient non-community system","132","-","Bossier Parish","10","10","6","Ground water","71037","HAUGHTON"
"LA1119025","SAREPTA WATER WORKS DISTRICT","Region 6","Louisiana","Community water system","1,500","-","Webster Parish","12","13","13","Ground water","71071","SAREPTA"
"LA2005042","OCCIDENTAL CHEMICAL CORPORATION","Region 6","Louisiana","Non-Transient non-community system","500","-","Ascension Parish","10","2","13","Ground water","70734","GEISMAR"
"LA2103519","ST. SCHOLASTICA ATHLETIC FIELD","Region 6","Louisiana","Transient non-community system","500","-","St. Tammany Parish","4","0","1","Ground water","70434","COVINGTON"
"LA2103518","SOCIAL SECURITY ADMIN OFFICE","Region 6","Louisiana","Transient non-community system","100","-","St. Tammany Parish","4","0","1","Ground water","23225","RICHMOND"
"LA1027003","HOMER WATER SYSTEM","Region 6","Louisiana","Community water system","3,427","-","Claiborne Parish","14","33","12","Ground water","71040","HOMER"
"LA1021003","COLUMBIA HEIGHTS WATER DISTRICT","Region 6","Louisiana","Community water system","1,965","-","Caldwell Parish","13","1","20","Ground water","71418","COLUMBIA"
"LA2101032","COMPASS MINERALS LA","Region 6","Louisiana","Transient non-community system","156","-","St. Mary Parish","6","3","9","Ground water","70569","LYDIA"
"LA1103033","ST TAMMANY WATER DIST 2","Region 6","Louisiana","Community water system","5,200","-","St. Tammany Parish","12","8","10","Ground water","70434","COVINGTON"
"LA1013004","BIENVILLE WATER SYSTEM","Region 6","Louisiana","Community water system","360","-","Bienville Parish","9","16","14","Ground water","71008","BIENVILLE"
"LA2033052","OXBOW CALCINING, LLC","Region 6","Louisiana","Non-Transient non-community system","67","-","East Baton Rouge Parish","7","5","8","Ground water","70807","BATON ROUGE"
"LA1005004","BON TERRE CORPORATION WATER SYSTEM","Region 6","Louisiana","Community water system","27","-","Ascension Parish","4","13","15","Ground water","70707","GONZALES"
"LA1007001","ASSUMPTION PARISH WW DISTRICT 1","Region 6","Louisiana","Community water system","22,862","-","Assumption Parish","20","32","47","Surface water","70390","NAPOLEONVILLE"
"LA1077052","ALLEN'S WATER SERVICE - PORTER RD","Region 6","Louisiana","Community water system","60","-","Pointe Coupee Parish","2","2","1","Ground water purchased","70747","INNIS"
"LA1077051","ALLEN'S WATER SERVICE - STEINSON RD","Region 6","Louisiana","Community water system","60","-","Pointe Coupee Parish","2","2","1","Ground water purchased","70747","INNIS"
"LA1077050","ALLEN'S WATER SERVICE - MONK RD","Region 6","Louisiana","Community water system","78","-","Pointe Coupee Parish","2","2","1","Ground water purchased","70747","INNIS"
"LA2053010","LACASSINE RV PARK WATER SYSTEM","Region 6","Louisiana","Transient non-community system","670","-","Jefferson Davis Parish","7","0","5","Ground water","70605","LAKE CHARLES"
"LA2005034","SHELL CHEMICAL COMPANY","Region 6","Louisiana","Non-Transient non-community system","1,050","-","Ascension Parish","6","22","24","Surface water","70734","GEISMAR"
"LA1119035","ST JAMES WATER SYSTEM","Region 6","Louisiana","Community water system","273","-","Webster Parish","5","5","13","Ground water","71055","MINDEN"
"LA1063013","TOWN OF LIVINGSTON WATER SYSTEM","Region 6","Louisiana","Community water system","8,658","-","Livingston Parish","15","18","15","Ground water","70754","LIVINSTON"
"LA2103430","LAKESHORE CHRYSLER","Region 6","Louisiana","Transient non-community system","80","-","St. Tammany Parish","4","1","5","Ground water","70461","SLIDELL"
"LA2103429","LEGACY BUICK GMC","Region 6","Louisiana","Transient non-community system","60","-","St. Tammany Parish","4","10","6","Ground water","70461","SLIDELL"
"LA1119004","COTTON VALLEY WATER SYSTEM","Region 6","Louisiana","Community water system","1,512","-","Webster Parish","10","37","13","Ground water","71018","COTTON VALLEY"
"LA1079023","KOLIN RUBY WISE WATERWORK DISTRICT  11 A","Region 6","Louisiana","Community water system","4,302","-","Rapides Parish","16","3","13","Ground water","71361","PINEVILLE"
"LA1045027","LELEUX TRAILER PARK WATER SYSTEM","Region 6","Louisiana","Community water system","150","-","Iberia Parish","6","27","19","Ground water","70592","YOUNGSVILLE"
"LA2019134","DUNHAM PRICE GROUP WATER SYSTEM","Region 6","Louisiana","Non-Transient non-community system","85","-","Calcasieu Parish","10","5","10","Ground water","70669","WESTLAKE"
"LA1035006","EAST CARROLL WS NORTH","Region 6","Louisiana","Community water system","45","-","East Carroll Parish","4","52","8","Ground water purchased","71286","TRANSYLVANIA"
"LA1035007","EAST CARROLL WS SOUTH","Region 6","Louisiana","Community water system","1,227","-","East Carroll Parish","7","31","8","Ground water purchased","71286","TRANSYLVANIA"
"LA1069014","BELLWOOD WATER SYSTEM","Region 6","Louisiana","Community water system","981","-","Natchitoches Parish","10","25","12","Ground water","71468","PROVENCAL"
"LA1005046","JIMMY BABIN APARTMENTS","Region 6","Louisiana","Community water system","96","-","Ascension Parish","6","33","21","Ground water","70774","ST. AMANT"
"LA1113034","VERMILION WATERWORKS DISTRICT 1","Region 6","Louisiana","Community water system","21,600","-","Vermilion Parish","30","10","49","Ground water","70555","MAURICE"
"LA1047026","HIGHWAY 1148 WATER SYSTEM","Region 6","Louisiana","Community water system","1,086","-","Iberville Parish","2","0","5","Ground water purchased","70765","PLAQUEMINE"
"LA1047030","INTRACOASTAL WATER SYSTEM EAST","Region 6","Louisiana","Community water system","2,925","-","Iberville Parish","12","0","1","Ground water","70765","PLAQUEMINE"
"LA2103294","ABITA SPRINGS GOLF CLUB W S","Region 6","Louisiana","Transient non-community system","50","-","St. Tammany Parish","3","3","5","Ground water","70810","BATON ROUGE"
"LA1017058","DEEPWOODS UTILITIES INC","Region 6","Louisiana","Community water system","657","-","Caddo Parish","9","9","14","Ground water","71047","KEITHVILLE"
"LA1127010","VILLAGE OF SIKES WATER SYSTEM","Region 6","Louisiana","Community water system","690","-","Winn Parish","14","151","16","Ground water","71473","SIKES"
"LA1049028","SPRING CREEK SUBDIVISION WATER SYSTEM","Region 6","Louisiana","Community water system","444","-","Jackson Parish","5","82","19","Ground water","71292","WEST MONROE"
"LA1073097","WESTERN UTILITIES, INC","Region 6","Louisiana","Community water system","747","-","Ouachita Parish","15","20","28","Ground water","71292","WEST MONROE"
"LA1067018","BEEKMAN WATER SYSTEM","Region 6","Louisiana","Community water system","1,275","-","Morehouse Parish","10","27","19","Ground water","71336","GILBERT"
"LA1039005","TOWN OF MAMOU WATER SYSTEM","Region 6","Louisiana","Community water system","3,566","-","Evangeline Parish","12","17","61","Ground water","70554","MAMOU"
"LA1073006","CALHOUN WATER SYSTEM","Region 6","Louisiana","Community water system","1,113","-","Ouachita Parish","11","13","20","Ground water","71225","CALHOUN"
"LA1119002","BLOCKER WATER SYSTEM","Region 6","Louisiana","Community water system","1,200","-","Webster Parish","9","12","13","Ground water","71071","SAREPTA"
"LA1053006","TOWN OF WELSH WATER SYSTEM","Region 6","Louisiana","Community water system","3,487","-","Jefferson Davis Parish","10","9","18","Ground water","70591","WELSH"
"LA2013015","HOUSE OF RAEFORD","Region 6","Louisiana","Non-Transient non-community system","500","-","Bienville Parish","6","22","9","Ground water","71001","ARCADIA"
"LA1047024","NORTH IBERVILLE WATER SYSTEM","Region 6","Louisiana","Community water system","1,470","-","Iberville Parish","10","3","15","Ground water","70765","PLAQUEMINE"
"LA1047007","IBERVILLE WATERWORKS DISTRICT #2","Region 6","Louisiana","Community water system","4,506","-","Iberville Parish","15","5","8","Ground water purchased","70765","PLAQUEMINE"
"LA2015025","RODGERS MARINA","Region 6","Louisiana","Transient non-community system","30","-","Bossier Parish","4","5","3","Ground water","71051","ELM GROVE"
"LA2015026","DOWNTOWN KORAN STORE WATER SYSTEM","Region 6","Louisiana","Transient non-community system","400","-","Bossier Parish","4","3","2","Ground water","71037","HAUGHTON"
"LA1049001","BEAR CREEK WATER SYSTEM","Region 6","Louisiana","Community water system","384","-","Jackson Parish","11","4","18","Ground water","71268","QUITMAN"
"LA2095042","CAJUN PRIDE WATER SYSTEM","Region 6","Louisiana","Transient non-community system","25","-","St. John the Baptist Parish","4","7","20","Ground water","70072","MARRERO"
"LA1009011","CITY OF MARKSVILLE WATER SYSTEM","Region 6","Louisiana","Community water system","7,593","-","Avoyelles Parish","24","11","11","Ground water purchased","71351","MARKSVILLE"
"LA1039007","REDDELL VIDRINE WATER DISTRICT","Region 6","Louisiana","Community water system","2,862","-","Evangeline Parish","9","29","53","Ground water","70586","VILLE PLATTE"
"LA1013017","SOUTHEAST BIENVILLE WATER SYSTEM","Region 6","Louisiana","Community water system","348","-","Bienville Parish","6","59","16","Ground water","71070","SALINE"
"LA2079009","LSU AT ALEXANDRIA","Region 6","Louisiana","Non-Transient non-community system","3,000","-","Rapides Parish","9","21","22","Ground water","71302","ALEXANDRIA"
"LA2117185","CAJUN C'S RESTAURANT","Region 6","Louisiana","Transient non-community system","25","-","Washington Parish","4","12","8","Ground water","70427","BOGALUSA"
"LA2087001","DOMINO SUGAR","Region 6","Louisiana","Non-Transient non-community system","360","-","St. Bernard Parish","6","29","21","Surface water","70032","ARABI"
"LA2103053","BAYOU LACOMBE MIDDLE SCHOOL","Region 6","Louisiana","Non-Transient non-community system","266","-","St. Tammany Parish","5","3","5","Ground water","70433","COVINGTON"
"LA2103380","FOUNTAINBLEAU SCHOOL","Region 6","Louisiana","Non-Transient non-community system","1,899","-","St. Tammany Parish","4","6","8","Ground water","70433","COVINGTON"
"LA2103378","SIXTH WARD CAFETERIA","Region 6","Louisiana","Non-Transient non-community system","575","-","St. Tammany Parish","4","3","6","Ground water","70433","COVINGTON"
"LA2103239","SIXTH WARD JR HIGH W S","Region 6","Louisiana","Non-Transient non-community system","607","-","St. Tammany Parish","4","4","6","Ground water","70433","COVINGTON"
"LA2103489","MONTELEONE JR HIGH SCHOOL","Region 6","Louisiana","Non-Transient non-community system","500","-","St. Tammany Parish","5","3","6","Ground water","70433","COVINGTON"
"LA2103498","LAKESHORE HIGH SCHOOL","Region 6","Louisiana","Non-Transient non-community system","750","-","St. Tammany Parish","4","0","3","Ground water","70433","COVINGTON"
"LA2103505","MAYFIELD ELEMENTARY SCHOOL","Region 6","Louisiana","Non-Transient non-community system","400","-","St. Tammany Parish","4","3","3","Ground water","70433","COVINGTON"
"LA2103042","FIFTH WARD JR HIGH W S","Region 6","Louisiana","Non-Transient non-community system","530","-","St. Tammany Parish","9","5","8","Ground water","70433","COVINGTON"
"LA2103029","CHATA-IMA ELEMENTARY SCHOOL W S","Region 6","Louisiana","Non-Transient non-community system","399","-","St. Tammany Parish","4","0","6","Ground water","70433","COVINGTON"
"LA2103386","LOCK ONE STORE","Region 6","Louisiana","Transient non-community system","50","-","St. Tammany Parish","4","0","5","Ground water","70452","PEARL RIVER"
"LA2103526","DOLLAR GENERAL STORE 18417","Region 6","Louisiana","Transient non-community system","25","-","St. Tammany Parish","4","0","1","Ground water","37072","GOODLETTSVILLE"
"LA2105126","DOLLAR GENERAL STORE NO 13944","Region 6","Louisiana","Transient non-community system","50","-","Tangipahoa Parish","4","0","1","Ground water","37072","GOODLETTSVILLE"
"LA1039002","CHATAIGNIER WATER SYSTEM","Region 6","Louisiana","Community water system","1,131","-","Evangeline Parish","15","35","27","Ground water","70524","CHATAIGNIER"
"LA1087001","ST BERNARD PARISH WATERWORKS","Region 6","Louisiana","Community water system","44,000","-","St. Bernard Parish","21","46","42","Surface water","70043","CHALMETTE"
"LA1013009","LUCKY WATERWORKS","Region 6","Louisiana","Community water system","315","-","Bienville Parish","6","32","15","Ground water","71016","CASTOR"
"LA2099076","CASH MAGIC BREAUX BRIDGE LLC","Region 6","Louisiana","Transient non-community system","650","-","St. Martin Parish","6","1","12","Ground water","70508","LAFAYETTE"
"LA1103195","VILLAGES OF BOCAGE- MADISONVILLE","Region 6","Louisiana","Community water system","894","-","St. Tammany Parish","2","5","3","Ground water purchased","70447","MADISONVILLE"
"LA1123002","FISKE UNION WATER SYSTEM","Region 6","Louisiana","Community water system","1,830","-","West Carroll Parish","9","5","17","Ground water","71263","OAK GROVE"
"LA2105089","COLONIAL INN MOTEL","Region 6","Louisiana","Transient non-community system","40","-","Tangipahoa Parish","5","1","6","Ground water","70422","AMITE"
"LA2103533","DOLLAR GENERAL LACOMBE","Region 6","Louisiana","Transient non-community system","300","-","St. Tammany Parish","4","0","1","Ground water","37072","GOODLETTSVILLE"
"LA2103524","DOLLAR GENERAL STORE NO 12728","Region 6","Louisiana","Transient non-community system","50","-","St. Tammany Parish","4","0","1","Ground water","37072","GOODLETTSVILLE"
"LA2103523","DOLLAR GENERAL STORE NO 09535","Region 6","Louisiana","Transient non-community system","50","-","St. Tammany Parish","4","0","1","Ground water","37072","GOODLETTSVILLE"
"LA2019158","DOLLAR GENERAL 8777 WATER SYSTEM","Region 6","Louisiana","Transient non-community system","25","-","Calcasieu Parish","5","5","8","Ground water","37072","GOODLETTSVILLE"
"LA2045079","DOLLAR GENERAL 14262 WATER SYSTEM","Region 6","Louisiana","Transient non-community system","25","-","Iberia Parish","4","14","3","Ground water","37072","GOODLETTSVILLE"
"LA2005278","DOLLAR GENERAL #17790","Region 6","Louisiana","Transient non-community system","25","-","Ascension Parish","4","0","1","Ground water","37072","GOODLETTSVILLE"
"LA2103520","DOLLAR GENERAL STORE NO 7594","Region 6","Louisiana","Transient non-community system","50","-","St. Tammany Parish","4","0","1","Ground water","37072","GOODLETTSVILLE"
"LA2117203","DOLLAR GENERAL STORE 18724","Region 6","Louisiana","Transient non-community system","25","-","Washington Parish","4","0","1","Ground water","37072","GOODLETTSVILLE"
"LA2117202","DOLLAR GENERAL HWY 25","Region 6","Louisiana","Transient non-community system","50","-","Washington Parish","4","0","1","Ground water","37072","GOODLETTSVILLE"
"LA2117201","DOLLAR GENERAL STORE NO 15137","Region 6","Louisiana","Transient non-community system","50","-","Washington Parish","4","0","1","Ground water","37072","GOODLETTSVILLE"
"LA1067022","SPICEWOOD MOBILE HOME PARK WATER SYSTEM","Region 6","Louisiana","Community water system","42","-","Morehouse Parish","7","17","19","Ground water","71220","BASTROP"
"LA1079032","SIEPER AREA WATER SYSTEM","Region 6","Louisiana","Community water system","1,080","-","Rapides Parish","6","0","12","Ground water","71446","LEESVILLE"
"LA1113019","VILLAGE OF MAURICE WATER SYSTEM","Region 6","Louisiana","Community water system","1,815","-","Vermilion Parish","11","10","25","Ground water","70555","MAURICE"
"LA1055017","LAFAYETTE UTILITIES WATER SYSTEM","Region 6","Louisiana","Community water system","175,566","-","Lafayette Parish","54","1","70","Ground water","70502","LAFAYETTE"
"LA2015009","WILSON'S STEAK AND SEAFOOD","Region 6","Louisiana","Transient non-community system","50","-","Bossier Parish","6","16","10","Ground water","71023","DOYLINE"
"LA2103503","VINTAGE COURT","Region 6","Louisiana","Transient non-community system","200","-","St. Tammany Parish","4","0","4","Ground water","70433","COVINGTON"
"LA1111008","HOLMESVILLE WATER SYSTEM","Region 6","Louisiana","Community water system","2,310","-","Union Parish","19","59","20","Ground water","71234","DOWNSVILLE"
"LA1103011","COVINGTON WATER SUPPLY","Region 6","Louisiana","Community water system","14,700","-","St. Tammany Parish","12","14","10","Ground water","70434","COVINGTON"
"LA1005112","RODDY ROAD VILLAGE ASCENSION, LLC","Region 6","Louisiana","Community water system","120","-","Ascension Parish","4","11","20","Ground water","70592","LAFAYETTE"
"LA1015023","ST MARYS WATER SYSTEM","Region 6","Louisiana","Community water system","294","-","Bossier Parish","7","32","14","Ground water","71064","PLAIN DEALING"
"LA2121007","PORT OF GREATER BATON ROUGE","Region 6","Louisiana","Non-Transient non-community system","150","-","West Baton Rouge Parish","4","5","12","Ground water","70767","PORT ALLEN"
"LA1005175","TREYVILLE COURTS TRAILER PARK","Region 6","Louisiana","Community water system","69","-","Ascension Parish","4","11","14","Ground water","70774","ST AMANT"
"LA1027011","SUMMERFIELD WATER SYSTEM","Region 6","Louisiana","Community water system","1,260","-","Claiborne Parish","15","5","9","Ground water","71079","SUMMERFIELD"
"LA1027008","DAVID WADE CORRECTIONAL CENTER WS","Region 6","Louisiana","Community water system","1,660","-","Claiborne Parish","12","12","12","Ground water","71040","HOMER"
"LA1017052","WATERWORKS DISTRICT 7","Region 6","Louisiana","Community water system","5,400","-","Caddo Parish","32","12","10","Ground water","71047","KEITHVILLE"
"LA1085032","TOWN OF ZWOLLE WATER SYSTEM","Region 6","Louisiana","Community water system","2,400","-","Sabine Parish","11","17","14","Ground water","71486","ZWOLLE"
"LA2105095","SKINNEYS RESTAURANT","Region 6","Louisiana","Transient non-community system","200","-","Tangipahoa Parish","4","4","6","Ground water","70444","KENTWOOD"
"LA1049006","EAST HODGE WATER SYSTEM","Region 6","Louisiana","Community water system","423","-","Jackson Parish","8","68","24","Ground water","71247","HODGE"
"LA2119021","LAKESIDE RV PARK","Region 6","Louisiana","Transient non-community system","100","-","Webster Parish","5","6","13","Ground water","71055","MINDEN"
"LA1061006","GRAMBLING WATER SYSTEM","Region 6","Louisiana","Community water system","4,949","-","Lincoln Parish","12","29","33","Ground water","71245","GRAMBLING"
"LA1067020","SOUTH BONNE IDEE WATER SYSTEM","Region 6","Louisiana","Community water system","345","-","Morehouse Parish","6","12","21","Ground water","71264","OAK RIDGE"
