"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Population Served Count","Cities Served","Counties Served","# of Facilities","# of Violations","# of Site Visits","Primary Source","Zip Code","City Name"
"LA1079025","POLAND WATER ASSOCIATION","Region 6","Louisiana","Community water system","1,836","-","Rapides Parish","6","10","7","Ground water purchased","71302","ALEXANDRIA"
"LA1083002","DELHI WATER SUPPLY","Region 6","Louisiana","Community water system","4,071","-","Richland Parish","18","5","28","Ground water","71232","DELHI"
"LA1105014","KENTWOOD WATER SYSTEM","Region 6","Louisiana","Community water system","2,205","-","Tangipahoa Parish","11","15","10","Ground water","70444","KENTWOOD"
"LA1105045","BAYWOOD ESTATES SUBD","Region 6","Louisiana","Community water system","57","-","Tangipahoa Parish","7","11","9","Ground water purchased","70454","PONCHATOULA"
"LA1079014","TOWN OF LECOMPTE (LAWCO)","Region 6","Louisiana","Community water system","1,294","-","Rapides Parish","10","1","13","Ground water","70896","BATON ROUGE"
"LA1045009","NEW IBERIA WATER SYSTEM (LAWCO)","Region 6","Louisiana","Community water system","59,769","-","Iberia Parish","46","5","45","Ground water","70896","BATON ROUGE"
"LA1001002","CROWLEY WATER SYSTEM (LAWCO)","Region 6","Louisiana","Community water system","19,000","-","Acadia Parish","15","1","22","Ground water","70896","BATON ROUGE"
"LA1097022","EUNICE WATER SYSTEM (LAWCO)","Region 6","Louisiana","Community water system","15,753","-","St. Landry Parish","17","0","22","Ground water","70896","BATON ROUGE"
"LA1019008","DEQUINCY WATER SYSTEM (LAWCO)","Region 6","Louisiana","Community water system","5,772","-","Calcasieu Parish","16","0","21","Ground water","70896","BATON ROUGE"
"LA1009010","LAWCO MANSURA","Region 6","Louisiana","Community water system","1,677","-","Avoyelles Parish","20","11","22","Ground water purchased","70896","BATON ROUGE"
"LA1017002","AUTUMN ACRES MHP WATER SYSTEM","Region 6","Louisiana","Community water system","90","-","Caddo Parish","6","25","11","Ground water","71119","SHREVEPORT"
"LA2103379","TWO SISTERS BILLIARDS","Region 6","Louisiana","Transient non-community system","50","-","St. Tammany Parish","4","14","5","Ground water","70461","SLIDELL"
"LA2103233","RAMSEY GRILL AND CAFE","Region 6","Louisiana","Transient non-community system","500","-","St. Tammany Parish","4","15","6","Ground water","70435","COVINGTON"
"LA1013020","OLD SALINE COMMUNITY WATER SYSTEM","Region 6","Louisiana","Community water system","390","-","Bienville Parish","6","19","13","Ground water","71016","CASTOR"
"LA1097014","PRAIRIE RONDE WATER SYSTEM INC","Region 6","Louisiana","Community water system","5,643","-","St. Landry Parish","20","7","28","Ground water","70550","LAWTELL"
"LA1121014","PORT ALLEN WATER SYSTEM","Region 6","Louisiana","Community water system","6,759","-","West Baton Rouge Parish","11","11","16","Ground water","70767","PORT ALLEN"
"LA2073056","BAYOU BOEUF RV PARK WATER SYSTEM","Region 6","Louisiana","Transient non-community system","100","-","Ouachita Parish","5","2","16","Ground water","71280","STERLINGTON"
"LA2103244","POPEYES FRIED CHICKEN","Region 6","Louisiana","Transient non-community system","1,500","-","St. Tammany Parish","4","1","6","Ground water","70434","COVINGTON"
"LA1031007","KEATCHIE WATER SYSTEM","Region 6","Louisiana","Community water system","3,465","-","De Soto Parish","44","27","14","Ground water","71046","KEATCHIE"
